60750,24.0,0.0,19.5,1.12,26.75,0.43
61000,23.0,1.22,18.0,2.16,23.0,3.74
61250,18.5,2.6,18.75,2.49,25.0,2.45
61500,25.5,1.8,12.0,1.63,24.33,0.47
61750,26.25,1.92,21.0,0.0,26.75,1.64
62000,24.25,0.43,16.25,4.44,26.25,1.92
62250,24.25,0.43,20.25,4.82,23.5,2.87
62500,26.0,0.82,17.25,3.77,25.0,2.83
62750,27.33,0.47,16.0,1.58,20.67,2.87
63000,24.5,1.5,14.75,0.83,20.75,2.17
63250,21.67,0.47,20.67,2.05,19.0,4.74
63500,23.5,0.5,14.33,5.19,20.75,2.28
63750,25.5,1.5,21.0,1.58,20.75,2.38
64000,24.25,0.43,20.5,2.06,18.5,1.8
64250,24.75,0.43,20.5,2.6,21.75,2.49
64500,24.5,0.5,20.25,1.3,22.0,1.22
64750,24.0,0.0,17.67,2.36,21.0,0.0
65000,25.5,0.5,16.8,0.75,23.6,0.49
65250,25.0,0.0,19.0,1.0,21.25,0.43
65500,24.25,0.43,18.75,0.43,21.25,0.43
65750,23.75,0.43,17.25,1.92,21.25,0.43
66000,23.5,0.87,18.75,0.83,21.5,0.5
66250,22.0,0.71,18.0,0.0,21.0,0.0
66500,23.5,0.5,17.67,0.47,20.67,0.47
66750,24.25,0.43,18.0,2.45,21.33,1.7
67000,24.0,0.0,16.25,1.3,21.0,1.63
67250,24.5,0.5,17.5,2.6,20.0,1.22
67500,24.67,0.47,21.0,0.0,19.25,0.83
67750,23.75,0.43,21.0,0.0,18.5,0.5
68000,22.5,0.5,21.0,0.0,18.25,0.43
68250,22.5,0.5,21.5,0.5,18.5,0.5
68500,21.5,0.87,21.5,0.5,19.5,1.12
68750,21.5,0.5,22.5,1.12,19.5,2.06
69000,20.75,0.43,19.0,1.0,23.25,0.83
69250,18.75,2.77,20.5,0.87,20.75,1.48
69500,17.5,1.5,21.25,1.48,19.0,1.22
69750,19.25,0.43,23.0,0.0,21.0,0.0
70000,20.25,0.43,22.67,0.47,21.33,0.47
70250,20.5,0.5,23.5,0.5,20.75,1.09
70500,21.0,0.0,23.75,0.43,23.0,1.58
70750,20.5,0.5,21.75,0.43,24.25,0.43
71000,20.67,0.47,22.25,0.83,24.0,0.0
71250,20.5,0.5,24.0,0.0,24.25,0.43
71500,18.67,0.94,23.67,0.47,21.0,2.55
71750,20.0,1.0,21.5,2.29,19.75,2.17
72000,20.25,1.3,22.5,1.5,19.5,2.69
72250,18.25,0.83,22.0,0.71,14.75,0.83
72500,19.25,1.3,21.5,0.87,19.0,2.45
72750,21.0,0.0,21.0,0.0,20.5,0.5
73000,21.0,0.0,20.75,0.43,20.5,0.5
73250,21.25,0.43,21.0,0.0,19.0,0.71
73500,21.5,0.5,21.5,0.87,18.5,0.5
73750,21.75,0.83,22.0,0.0,18.67,0.94
74000,21.67,0.47,22.25,0.43,19.33,0.94
74250,21.5,0.5,22.25,0.43,19.75,1.3
74500,22.75,0.43,22.25,0.43,20.5,0.5
74750,22.5,0.5,22.0,0.71,19.25,0.83
75000,22.75,0.43,22.0,0.0,18.75,0.83
75250,22.33,0.47,22.0,0.82,19.25,1.3
75500,22.25,0.43,21.0,0.0,19.5,2.06
75750,22.5,0.5,21.0,0.0,20.5,0.5
76000,22.5,0.5,20.75,0.43,20.5,0.5
76250,22.75,0.43,20.5,0.5,20.75,0.43
76500,23.0,0.71,19.75,0.43,20.5,0.5
76750,23.5,0.5,19.25,0.43,20.5,0.87
77000,23.0,0.71,21.0,0.0,18.0,1.87
77250,23.5,0.5,21.5,0.5,20.0,1.0
77500,23.5,0.5,21.5,1.12,18.75,1.3
77750,23.5,0.5,22.67,0.47,20.33,0.47
78000,23.5,0.5,22.0,0.71,19.75,0.43
78250,23.5,0.5,21.25,0.43,17.75,0.43
78500,23.5,0.5,21.5,0.5,19.0,0.71
78750,23.5,0.5,21.25,0.43,21.0,0.0
79000,23.5,0.5,21.0,0.0,21.0,0.0
79250,23.5,0.5,21.0,0.0,20.75,0.43
79500,23.75,0.43,21.0,0.0,19.75,1.09
79750,23.67,0.47,21.0,0.0,15.33,0.47
80000,22.0,0.63,21.5,0.5,15.2,0.75
80250,21.33,0.47,22.5,0.87,17.67,0.47
80500,21.5,0.5,22.0,1.0,19.5,1.12
80750,22.0,0.71,20.0,1.0,21.25,0.43
81000,22.33,0.47,18.0,0.0,21.75,0.83
81250,22.67,0.47,21.0,0.82,21.75,0.83
81500,22.75,0.43,22.0,0.71,21.0,0.0
81750,22.75,0.43,22.25,0.43,19.75,0.43
82000,23.75,0.43,21.0,0.0,19.75,0.83
82250,24.0,0.0,21.25,0.43,20.0,0.71
82500,24.0,0.0,21.0,0.0,19.67,0.47
82750,24.0,0.0,21.75,0.43,19.0,1.0
83000,24.0,0.0,22.0,0.0,19.0,0.82
83250,23.33,0.47,21.67,0.47,16.75,1.09
83500,23.5,0.5,18.25,1.79,19.0,2.35
83750,23.67,0.47,11.0,3.0,20.5,4.97
84000,24.0,0.0,5.75,2.38,24.0,0.0
84250,23.75,0.43,9.25,0.83,23.0,0.71
84500,23.25,0.43,9.25,0.43,23.0,0.71
84750,23.0,0.71,7.75,1.79,22.5,1.12
85000,23.25,0.83,6.25,0.43,23.5,0.5
85250,23.5,0.5,3.0,2.0,23.5,0.5
85500,23.5,0.5,0.0,0.0,23.67,0.47
85750,23.33,0.47,0.0,0.0,23.67,0.47
86000,23.0,0.71,4.0,2.0,23.75,0.43
86250,23.25,0.43,2.33,1.25,23.5,0.5
86500,23.5,0.5,3.0,0.82,23.5,0.5
86750,23.67,0.47,9.0,0.0,23.75,0.43
87000,24.33,0.47,5.5,3.5,23.75,0.43
87250,24.5,0.5,7.75,3.96,22.5,0.5
87500,24.25,0.43,4.0,2.0,22.0,1.0
87750,24.0,0.0,11.25,0.83,22.75,0.43
88000,24.0,0.0,9.5,0.87,22.5,1.12
88250,23.75,0.43,9.5,0.87,22.5,0.5
88500,23.75,0.43,8.5,0.5,23.0,1.0
88750,23.75,0.43,7.75,3.34,22.75,1.09
89000,24.0,0.0,17.67,4.03,18.67,0.94
89250,24.0,0.0,20.25,0.83,18.5,0.5
89500,23.67,0.47,18.75,1.3,21.67,0.47
89750,23.5,0.5,20.0,1.0,20.5,0.87
90000,24.0,0.0,19.25,0.83,20.5,1.5
90250,24.0,0.0,18.67,0.94,21.0,0.0
90500,23.75,0.43,20.0,0.71,20.25,0.43
90750,24.0,0.0,20.67,0.47,19.75,0.83
91000,24.0,0.0,21.0,0.71,19.75,0.43
91250,24.0,0.0,21.5,0.5,20.0,1.22
91500,24.0,0.0,21.75,0.43,19.25,1.64
91750,24.0,0.0,23.75,0.43,21.5,1.12
92000,24.0,0.0,23.25,0.43,20.25,0.83
92250,24.25,0.43,24.0,0.0,20.0,0.71
92500,24.75,0.43,24.0,0.0,20.75,0.43
92750,24.5,0.5,24.0,0.0,20.75,0.43
93000,24.0,0.0,24.0,0.0,20.5,0.5
93250,24.0,0.0,24.0,0.0,20.25,0.43
93500,24.0,0.0,24.0,0.0,20.67,0.47
93750,24.25,0.43,24.0,0.0,21.0,0.0
94000,24.0,0.0,23.5,0.5,20.67,0.47
94250,24.0,0.0,22.75,0.43,20.0,0.82
94500,24.0,0.0,22.0,0.0,19.5,0.87
94750,24.0,0.0,21.75,0.43,18.0,0.0
95000,24.25,0.43,21.5,0.5,15.25,0.83
95250,24.5,0.5,22.0,0.0,15.75,0.83
95500,25.25,0.43,22.5,0.5,16.5,1.12
95750,26.5,0.5,22.25,0.43,17.75,0.43
96000,24.5,0.87,22.25,0.43,19.75,1.09
96250,24.0,0.0,22.25,1.3,20.25,1.3
96500,24.75,0.43,20.5,0.87,20.0,1.0
96750,25.75,0.43,22.33,0.94,18.33,0.47
97000,26.0,0.0,21.25,0.43,18.0,0.0
97250,26.0,0.0,22.0,0.0,18.33,0.47
97500,25.0,0.71,21.5,0.5,18.25,0.43
97750,24.67,0.47,21.67,0.47,19.25,1.3
98000,26.5,0.87,18.0,0.71,20.5,0.87
98250,26.5,0.5,18.0,2.28,21.0,0.82
98500,26.5,0.5,19.25,0.83,18.25,1.09
98750,25.67,0.94,21.67,0.47,20.75,1.09
99000,27.0,0.0,21.25,0.43,20.0,1.0
99250,27.0,0.0,21.0,1.87,18.25,3.27
99500,26.75,0.43,19.0,3.74,14.33,1.7
99750,27.0,0.0,16.6,1.96,11.4,2.24
100000,26.25,0.43,18.0,0.0,15.75,1.79
100250,26.75,0.43,13.5,2.69,18.5,0.87
100500,27.0,0.0,15.33,2.49,17.33,0.94
100750,26.67,0.47,14.25,6.76,10.67,1.89
101000,27.0,0.0,17.25,4.32,12.5,4.56
101250,26.67,0.47,16.25,1.3,14.67,3.68
101500,26.75,0.43,18.25,1.48,16.25,4.26
101750,26.0,0.71,16.5,1.5,19.75,1.3
102000,26.25,0.43,19.25,0.43,16.5,1.12
102250,26.67,0.47,18.33,0.47,18.5,0.5
102500,27.0,0.0,18.0,0.0,17.75,1.09
102750,26.0,0.0,15.0,0.71,19.5,1.12
103000,26.0,0.0,14.0,0.71,20.75,0.43
103250,26.5,0.87,11.25,1.09,21.0,0.0
103500,26.0,0.0,12.75,2.59,21.75,1.3
103750,26.75,0.43,16.75,1.79,19.5,1.66
104000,26.5,0.5,22.5,1.5,19.5,1.12
104250,25.75,0.83,22.75,1.3,20.75,0.83
104500,26.0,0.71,21.5,1.5,20.25,1.3
104750,26.5,0.5,21.0,0.0,20.33,0.47
105000,26.25,0.43,20.67,0.47,19.67,0.47
105250,25.75,0.43,20.33,0.94,18.33,0.47
105500,26.75,0.43,19.5,2.69,21.0,0.0
105750,27.0,0.0,21.5,1.66,22.75,1.09
106000,27.0,0.0,21.0,0.0,23.75,0.43
106250,27.0,0.0,22.0,0.71,23.0,1.0
106500,27.0,0.0,22.67,0.47,22.0,0.82
106750,27.0,0.0,23.5,0.5,21.75,0.83
107000,26.25,0.83,23.5,0.5,22.75,0.83
107250,25.25,0.43,24.0,0.0,23.25,0.83
107500,25.33,0.94,23.5,0.5,23.67,0.47
107750,25.75,0.43,24.0,0.0,23.75,0.43
108000,25.75,0.43,23.5,0.5,23.25,0.83
108250,25.25,0.43,23.33,0.47,21.33,0.47
108500,25.0,0.0,23.5,0.5,23.75,0.43
108750,25.25,0.43,23.75,0.43,22.75,1.09
109000,26.75,0.43,22.67,0.47,22.33,1.25
109250,26.67,0.47,23.75,0.43,21.0,0.0
109500,26.33,0.47,22.75,0.43,22.0,0.82
109750,26.67,0.47,22.67,0.47,23.0,0.71
110000,26.75,0.43,22.5,0.5,21.25,0.43
110250,26.5,0.5,23.0,0.0,21.25,0.43
110500,26.0,0.0,23.5,0.5,19.75,1.09
110750,26.0,0.0,23.0,0.0,20.75,0.43
111000,25.67,0.47,24.0,0.0,21.33,0.47
111250,26.0,0.0,24.0,0.0,21.25,0.43
111500,25.5,0.5,24.0,0.0,21.25,0.43
111750,25.0,0.71,24.0,0.0,21.75,0.83
112000,25.0,0.71,23.5,0.5,22.0,0.71
112250,26.5,0.87,21.33,0.47,21.33,0.47
112500,27.0,0.0,21.0,0.0,21.0,0.71
112750,27.0,0.0,21.5,0.87,20.5,1.12
113000,27.0,0.0,23.33,0.47,20.33,0.47
113250,27.0,0.0,23.25,0.43,20.5,0.5
113500,26.75,0.43,24.0,0.0,19.5,0.5
113750,26.33,0.47,22.75,0.43,20.33,0.94
114000,26.6,0.49,22.25,0.43,19.6,0.8
114250,27.0,0.0,21.5,0.5,19.75,0.83
114500,27.0,0.0,21.25,0.43,20.67,0.47
114750,27.0,0.0,21.25,0.43,20.25,0.83
115000,27.0,0.0,22.75,0.83,19.25,0.43
115250,27.0,0.0,24.0,0.0,18.25,0.43
115500,26.67,0.47,23.0,0.0,18.0,0.0
115750,27.0,0.0,22.75,0.43,19.0,1.0
116000,27.0,0.0,21.5,0.5,20.25,0.83
116250,27.0,0.0,21.25,0.43,21.0,0.71
116500,27.0,0.0,21.33,0.47,21.0,0.0
116750,27.0,0.0,21.0,0.0,21.75,0.83
117000,27.0,0.0,21.0,0.0,22.5,0.5
117250,27.0,0.0,21.0,0.0,21.25,0.43
117500,27.0,0.0,21.0,0.0,21.5,0.5
117750,27.0,0.0,21.0,0.0,21.33,0.47
118000,27.0,0.0,21.0,0.0,21.4,0.49
118250,27.0,0.0,21.67,0.47,21.33,0.47
118500,27.0,0.0,22.5,0.5,21.25,0.43
118750,27.5,0.5,22.75,1.3,21.0,0.0
119000,27.0,0.0,21.0,0.0,20.75,1.09
119250,27.0,0.0,21.0,0.0,20.5,0.5
119500,27.25,0.43,23.5,0.87,20.75,0.43
119750,27.0,0.0,24.0,0.0,19.25,0.83
0,27.0,0.0,24.0,0.0,19.0,1.0
250,27.0,0.0,24.0,0.0,19.75,0.83
500,27.0,0.0,23.5,0.5,20.0,1.22
750,27.0,0.0,24.0,0.0,14.75,1.48
1000,27.0,0.0,23.75,0.43,14.5,1.5
1250,27.0,0.0,23.33,0.47,17.33,2.05
1500,27.0,0.0,22.0,0.0,18.75,0.83
1750,27.0,0.0,21.25,0.43,17.75,1.79
2000,27.0,0.0,21.0,0.0,19.33,0.94
2250,27.0,0.0,18.5,0.5,19.25,0.83
2500,27.0,0.0,15.25,3.9,19.33,1.25
2750,27.0,0.0,12.75,1.3,18.5,0.87
3000,27.0,0.0,19.0,2.12,17.67,4.03
3250,27.0,0.0,21.0,0.0,12.5,1.66
3500,27.0,0.0,18.33,0.47,13.25,1.3
3750,27.0,0.0,18.2,0.4,14.0,0.71
4000,27.0,0.0,20.0,1.41,13.5,1.5
4250,26.5,0.5,21.75,0.43,15.25,1.48
4500,27.0,0.0,22.0,0.71,15.75,0.83
4750,27.0,0.0,22.5,0.5,15.75,0.83
5000,27.0,0.0,22.5,0.87,15.25,0.43
5250,27.0,0.0,22.75,0.43,15.0,0.71
5500,27.0,0.0,21.0,0.0,16.33,1.25
5750,27.25,0.43,18.0,2.16,17.0,0.82
6000,27.25,0.43,16.25,1.3,16.25,1.09
6250,27.33,0.47,10.67,2.36,17.67,0.47
6500,27.25,0.43,7.5,3.91,16.75,0.83
6750,27.0,0.0,13.67,2.05,18.25,0.43
7000,27.0,0.0,17.25,5.76,15.5,2.87
7250,27.0,0.0,18.25,4.26,14.0,2.35
7500,27.0,0.0,18.67,0.94,14.25,1.79
7750,27.0,0.0,16.25,3.03,15.75,1.3
8000,27.0,0.0,14.75,1.79,13.0,1.22
8250,27.0,0.0,9.25,3.27,14.0,1.58
8500,27.25,0.43,12.67,0.94,17.33,1.25
8750,29.33,0.94,14.75,0.43,17.0,0.82
9000,30.0,0.0,17.25,0.43,16.5,0.5
9250,30.0,0.0,17.5,0.5,16.25,0.83
